"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"HABITAT";"SPECIFICITY";"GEOGRAPHIC_EXTENT";"BIOLOGICAL_STAGE";"BEHAVIOR__ACTIVITY";"SOURCE";"COMMENTS";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"HABITAT_ID";"SPECIFICITY_ID";"GEOGRAPHIC_EXTENT_ID";"BIOLOGICAL_STAGE_ID";"BEHAVIOR__ACTIVITY_ID";"SOURCE_ID"
"bfHab21";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V3 - Artificial grasslands and herb dominated habitats";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972500;"https://inpn.mnhn.fr/habitat/cd_hab/52208";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab22";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"N1 - Coastal dunes and sandy shores";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972494;"https://inpn.mnhn.fr/habitat/cd_hab/48262";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab23";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"R5 - Forest fringes and clearings and tall forb stands";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972498;"https://inpn.mnhn.fr/habitat/cd_hab/48967";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab24";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"T1 - Deciduous broadleaved forest";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";975864;"https://inpn.mnhn.fr/habitat/cd_hab/49241";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab25";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"N1 - Coastal dunes and sandy shores";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972512;"https://inpn.mnhn.fr/habitat/cd_hab/48262";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab26";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V1 - Arable land and market gardens";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972516;"https://inpn.mnhn.fr/habitat/cd_hab/52177";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab27";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V2 - Cultivated areas of gardens and parks";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972518;"https://inpn.mnhn.fr/habitat/cd_hab/52196";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab28";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"R4 - Alpine and subalpine grasslands";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";975876;"https://inpn.mnhn.fr/habitat/cd_hab/48908";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab29";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"R1 - Dry grasslands";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972522;"https://inpn.mnhn.fr/habitat/cd_hab/48479";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab30";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V6 - Tree dominated man-made habitats";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";975878;"https://inpn.mnhn.fr/habitat/cd_hab/52265";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab31";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V4 - Hedgerows";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972514;"https://inpn.mnhn.fr/habitat/cd_hab/52246";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab32";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V3 - Artificial grasslands and herb dominated habitats";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972520;"https://inpn.mnhn.fr/habitat/cd_hab/52208";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab33";"Bombus cullumanus (Kirby, 1802)";"53093";"Bombus cullumanus";"(Kirby, 1802)";53093;"Bombus cullumanus";"(Kirby, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"R2 - Mesic grasslands";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972674;"https://inpn.mnhn.fr/habitat/cd_hab/48785";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab34";"Bombus cullumanus (Kirby, 1802)";"53093";"Bombus cullumanus";"(Kirby, 1802)";53093;"Bombus cullumanus";"(Kirby, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"R3 - Seasonally wet and wet grasslands";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972676;"https://inpn.mnhn.fr/habitat/cd_hab/48838";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfHab35";"Bombus hortorum (Linnaeus, 1761)";"53095";"Bombus hortorum";"(Linnaeus, 1761)";53095;"Bombus hortorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"V3 - Artificial grasslands and herb dominated habitats";NA;NA;NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";NA;2;"Abeilles";972706;"https://inpn.mnhn.fr/habitat/cd_hab/52208";NA;NA;NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
