"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"MATERIALS";"MATERIAL_TYPE";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfNestMat1";"Andrena chrysosceles (Kirby, 1802)";"239325";"Andrena chrysosceles";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"soil";"mineral";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfNestMat2";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Muller, 1766)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"soil";"mineral";"Genoud D. 2016. Diversite des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";"Abeilles";444912
"bfNestMat3";"Anthidiellum strigatum (Panzer, 1802)";"239470";"Anthidiellum strigatum";"(Panzer, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidiellum";NA;NA;NA;"resin";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat4";"Anthidium cingulatum Latreille, 1809";"239472";"Anthidium cingulatum";"Latreille, 1809";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat5";"Anthidium diadema Latreille, 1809";"239473";"Anthidium diadema";"Latreille, 1809";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat6";"Anthidium florentinum (Fabricius, 1775)";"239474";"Anthidium florentinum";"(Fabricius, 1775)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat7";"Anthidium florentinum (Fabricius, 1775)";"239474";"Anthidium florentinum";"(Fabricius, 1775)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"leaves";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat8";"Anthidium loti Perris, 1852";"239476";"Anthidium loti";"Perris, 1852";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat9";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"pebbles";"mineral";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat10";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat11";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"leaves";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat12";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"soil";"mineral";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat13";"Anthidium montanum Morawitz, 1865";"53082";"Anthidium montanum";"Morawitz, 1865";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat14";"Anthidium oblongatum (Illiger, 1806)";"239478";"Anthidium oblongatum";"(Illiger, 1806)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat15";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat16";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"leaves";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat17";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"soil";"mineral";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat18";"Anthidium septemspinosum Lepeletier, 1841";"239480";"Anthidium septemspinosum";"Lepeletier, 1841";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";NA;NA;NA;"fibers";"vegetal";"Sugiura, N. 1991. Male territoriality and mating tactics in the wool-carder bee,Anthidium septemspinosum Lepeletier (Hymenoptera: Megachilidae). Journal of Ethology, 9(2): 95-103.";"Abeilles";447740
"bfNestMat19";"Anthophora balneorum Lepeletier, 1841";"239488";"Anthophora balneorum";"Lepeletier, 1841";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Anthophora";NA;NA;NA;"pebbles";"mineral";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat20";"Anthophora furcata (Panzer, 1798)";"239500";"Anthophora furcata";"(Panzer, 1798)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Anthophora";NA;NA;NA;"plant particules";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat21";"Anthophora plagiata (Illiger, 1806)";"239507";"Anthophora plagiata";"(Illiger, 1806)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Anthophora";NA;NA;NA;"water";"mineral";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat22";"Anthophora plagiata (Illiger, 1806)";"239507";"Anthophora plagiata";"(Illiger, 1806)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Anthophora";NA;NA;NA;"soil";"mineral";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat23";"Bombus gerstaeckeri Morawitz, 1881";"239535";"Bombus gerstaeckeri";"Morawitz, 1881";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";NA;NA;NA;"leaves";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat24";"Bombus gerstaeckeri Morawitz, 1881";"239535";"Bombus gerstaeckeri";"Morawitz, 1881";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";NA;NA;NA;"grass";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat25";"Bombus gerstaeckeri Morawitz, 1881";"239535";"Bombus gerstaeckeri";"Morawitz, 1881";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";NA;NA;NA;"moss";"vegetal";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestMat26";"Chelostoma campanularum (Kirby, 1802)";"239584";"Chelostoma campanularum";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Osmiini";"Chelostoma";NA;NA;NA;"clay";"mineral";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
