"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"SUBSTRATE";"COMPACTION";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfNestSub14";"Andrena chrysopus Perez, 1903";"239323";"Andrena chrysopus";"Perez, 1903";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"sand";NA;"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";"444815"
"bfNestSub15";"Andrena chrysopus Perez, 1903";"239323";"Andrena chrysopus";"Perez, 1903";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"silt";NA;"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";"444815"
"bfNestSub16";"Andrena chrysopyga Schenck, 1853";"239324";"Andrena chrysopyga";"Schenck, 1853";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"soil";NA;"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";"447698"
"bfNestSub17";"Andrena cineraria (Linnaeus, 1758)";"53077";"Andrena cineraria";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"clay";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";"444787"
"bfNestSub18";"Andrena cineraria (Linnaeus, 1758)";"53077";"Andrena cineraria";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"humus";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";"444787"
"bfNestSub19";"Andrena cineraria (Linnaeus, 1758)";"53077";"Andrena cineraria";"(Linnaeus, 1758)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"sand";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";"444787"
"bfNestSub20";"Andrena clarkella (Kirby, 1802)";"239327";"Andrena clarkella";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"clay";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";"444787"
"bfNestSub21";"Andrena clarkella (Kirby, 1802)";"239327";"Andrena clarkella";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"clay";NA;"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";"444815"
"bfNestSub22";"Andrena clarkella (Kirby, 1802)";"239327";"Andrena clarkella";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"humus";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";"444787"
"bfNestSub23";"Andrena clarkella (Kirby, 1802)";"239327";"Andrena clarkella";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"humus";NA;"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";"444815"
"bfNestSub24";"Andrena clarkella (Kirby, 1802)";"239327";"Andrena clarkella";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"sand";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";"444787"
"bfNestSub25";"Andrena clarkella (Kirby, 1802)";"239327";"Andrena clarkella";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"sand";NA;"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";"444815"
"bfNestSub26";"Andrena coitana (Kirby, 1802)";"239329";"Andrena coitana";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"clay";NA;"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";"444815"
"bfNestSub27";"Andrena coitana (Kirby, 1802)";"239329";"Andrena coitana";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"sand";NA;"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";"444815"
