"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"NEST_TYPE";"PARASITISM_TYPE";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfNestTyp11";"Andrena aeneiventris Morawitz, 1872";"239299";"Andrena aeneiventris";"Morawitz, 1872";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Tomozei, B. 2014. Andrena aeneiventris. The IUCN Red List of Threatened Species 2014: e.T19198965A21308678.";"Abeilles";444822
"bfNestTyp12";"Andrena agilissima (Scopoli, 1770)";"239301";"Andrena agilissima";"(Scopoli, 1770)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp13";"Andrena albopunctata (Rossi, 1792)";"239302";"Andrena albopunctata";"(Rossi, 1792)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Kocourek, M.,1966. Prodromus der Hymenopteren der Tschechoslowakei. Pars 9: Apoidea, 1. Acta Faunistica Entomologica Musei Nationalis Pragae, Supplementum 2, 12 : 1–122.";"Abeilles";444665
"bfNestTyp14";"Andrena alfkenella Perkins, 1914";"239303";"Andrena alfkenella";"Perkins, 1914";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"DYLEWSKA, M. 1987. Die Gattung Andrena FABRICIUS (Andrenidae, Apoidea) in Nord- und Mitteleuropa. Acta zool. cracov. 30 (12): 359-708.";"Abeilles";308112
"bfNestTyp15";"Andrena allosa Warncke, 1975";"239304";"Andrena allosa";"Warncke, 1975";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
"bfNestTyp16";"Andrena alutacea Stockhert, 1942";"808455";"Andrena alutacea";"Stockhert, 1942";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
"bfNestTyp17";"Andrena amieti Praz, Muller & Genoud, 2019";"908477";"Andrena amieti";"Praz, Muller & Genoud, 2019";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Praz, C. J., Müller, A. & Genoud, D. 2019. Hidden diversity in European bees: Andrena amieti sp. n., a new alpine bee species related to Andrena bicolor (Fabricius, 1775) (Hymenoptera, Apoidea, Andrenidae). Alpine Entomology, 3: 11-38.";"Abeilles";239090
"bfNestTyp18";"Andrena angustior (Kirby, 1802)";"239305";"Andrena angustior";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
"bfNestTyp19";"Andrena apicata Smith, 1847";"239308";"Andrena apicata";"Smith, 1847";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp20";"Andrena argentata Smith, 1844";"239309";"Andrena argentata";"Smith, 1844";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
