"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"RANK";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"RELATION_EN";"CD_NOM_02";"LB_NOM_02";"VALID_NAME_02";"LB_AUTHOR_02";"RANK_02";"KINGDOM_02";"PHYLUM_02";"CLASS_02";"ORDER_02";"FAMILY_02";"GENUS_02";"GROUP1_INPN_02";"GROUP2_INPN_02";"CD_DOC";"SOURCE";"DOC_URL";"LB_ETAT_SEXE_EN_1";"WIKIDATA_SEXE_1";"CD_ETAT_STADE_1";"LB_ETAT_STADE_EN_1";"WIKIDATA_STADE_1";"CD_ETAT_SPECIFICITE";"SPECIFITY";"WIKIDATA_SPECIFICITE";"LB_ETAT_STADE_EN_2";"WIKIDATA_STADE_2";"CD_BIOLINTER_SP"
"bfPar31";"Nomada lathburiana (Kirby, 1802)";"240004";"Nomada lathburiana";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"317479";"Andrena barbareae";"Andrena barbareae Panzer, 1803";"Panzer, 1803";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444860";"Amiet, F., Herrmann, M., Müller, A., Neumeyer, R. 2007. Apidae. 5: Ammobates, Ammobatoides, Anthophora, Biastes, Ceratina, Dasypoda, Epeoloides, Epeolus, Eucera, Macropis, Melecta, Melitta, Nomada, Pasites, Tetralonia, Thyreus, Xylocopa. Fauna Helvetica 20. 356pp.";NA;NA;NA;NA;NA;NA;"138";"sporadic";NA;NA;NA;"123543"
"bfPar32";"Nomada lathburiana (Kirby, 1802)";"240004";"Nomada lathburiana";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"317479";"Andrena barbareae";"Andrena barbareae Panzer, 1803";"Panzer, 1803";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444903";"Friese, H. 1923. Die europäischen Bienen: das Leben und Wirken unserer Blumenwespen. Berlin. 532pp.";NA;NA;NA;NA;NA;NA;"138";"sporadic";NA;NA;NA;"123543"
"bfPar33";"Nomada lathburiana (Kirby, 1802)";"240004";"Nomada lathburiana";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"317479";"Andrena barbareae";"Andrena barbareae Panzer, 1803";"Panzer, 1803";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444904";"Gebhardt M., Röhr G. 1987. Zur Bionomie der Sandbienen Andrena clarkella (Kirby), A. cineraria (L.), A. fuscipes (Kirby) und ihrer Kuckucksbienen (Hymenoptera: Apoidea), Drosera, 87: 89–114.";NA;NA;NA;NA;NA;NA;"138";"sporadic";NA;NA;NA;"123543"
"bfPar34";"Sphecodes reticulatus Thomson, 1870";"240132";"Sphecodes reticulatus";"Thomson, 1870";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Sphecodes";"Arthropodes";"Insectes";"kleptoparasite of";"239313";"Andrena barbilabris";"Andrena barbilabris (Kirby, 1802)";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;NA;NA;NA;"136";"optional";"https://www.wikidata.org/wiki/Q59864995";NA;NA;"120957"
"bfPar35";"Sphecodes pellucidus Smith, 1845";"240129";"Sphecodes pellucidus";"Smith, 1845";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Sphecodes";"Arthropodes";"Insectes";"kleptoparasite of";"239313";"Andrena barbilabris";"Andrena barbilabris (Kirby, 1802)";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;NA;NA;NA;"136";"optional";"https://www.wikidata.org/wiki/Q59864995";NA;NA;"119469"
"bfPar36";"Nomada hirtipes Perez, 1884";"239994";"Nomada hirtipes";"Pérez, 1884";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"239321";"Andrena bucephala";"Andrena bucephala Stephens, 1846";"Stephens, 1846";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"391891";"Stephens, J. F. 1846. Illustrations of British Entomology; or, a synopsis of indigenous insects: containing their generic and specific distinctions; with an account of their metamorphoses, times of appearance, localities, food, and economy, as far as practicable. Supplement.London. 94 pp.";"https://www.biodiversitylibrary.org/page/8211738";NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"120638"
"bfPar37";"Nomada hirtipes Perez, 1884";"239994";"Nomada hirtipes";"Pérez, 1884";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"239321";"Andrena bucephala";"Andrena bucephala Stephens, 1846";"Stephens, 1846";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444812";"Stoeckhert, F. K. 1933. Die Bienen Frankens (Hym. Apid.). Eine ökologisch-tiergeographische Untersuchung. Beih. Dt. Ent. Z.:294.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"120638"
"bfPar38";"Nomada hirtipes Perez, 1884";"239994";"Nomada hirtipes";"Pérez, 1884";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"239321";"Andrena bucephala";"Andrena bucephala Stephens, 1846";"Stephens, 1846";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444665";"Kocourek, M.,1966. Prodromus der Hymenopteren der Tschechoslowakei. Pars 9: Apoidea, 1. Acta Faunistica Entomologica Musei Nationalis Pragae, Supplementum 2, 12 : 1–122.";"https://www.aemnp.eu/data/article-136/117-2_0_1.pdf";NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"120638"
"bfPar39";"Nomada mutabilis Morawitz, 1871";"240013";"Nomada mutabilis";"Morawitz, 1871";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"239324";"Andrena chrysopyga";"Andrena chrysopyga Schenck, 1853";"Schenck, 1853";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444812";"Stoeckhert, F. K. 1933. Die Bienen Frankens (Hym. Apid.). Eine ökologisch-tiergeographische Untersuchung. Beih. Dt. Ent. Z.:294.";NA;NA;NA;NA;NA;NA;"136";"optional";"https://www.wikidata.org/wiki/Q59864995";NA;NA;"120554"
"bfPar40";"Nomada mutabilis Morawitz, 1871";"240013";"Nomada mutabilis";"Morawitz, 1871";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"239324";"Andrena chrysopyga";"Andrena chrysopyga Schenck, 1853";"Schenck, 1853";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444665";"Kocourek, M.,1966. Prodromus der Hymenopteren der Tschechoslowakei. Pars 9: Apoidea, 1. Acta Faunistica Entomologica Musei Nationalis Pragae, Supplementum 2, 12 : 1–122.";"https://www.aemnp.eu/data/article-136/117-2_0_1.pdf";NA;NA;NA;NA;NA;"136";"optional";"https://www.wikidata.org/wiki/Q59864995";NA;NA;"120554"
