"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"RANK";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"RELATION_EN";"CD_NOM_02";"LB_NOM_02";"VALID_NAME_02";"LB_AUTHOR_02";"RANK_02";"KINGDOM_02";"PHYLUM_02";"CLASS_02";"ORDER_02";"FAMILY_02";"GENUS_02";"GROUP1_INPN_02";"GROUP2_INPN_02";"CD_DOC";"SOURCE";"DOC_URL";"LB_ETAT_SEXE_EN_1";"WIKIDATA_SEXE_1";"CD_ETAT_STADE_1";"LB_ETAT_STADE_EN_1";"WIKIDATA_STADE_1";"CD_ETAT_SPECIFICITE";"SPECIFITY";"WIKIDATA_SPECIFICITE";"LB_ETAT_STADE_EN_2";"WIKIDATA_STADE_2";"CD_BIOLINTER_SP"
"bfPol11";"Andrena fulvicornis Schenck, 1861";"814736";"Andrena fulvicornis";"Schenck, 1861";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444794";"Schmid-Egger C., Doczkal D. 1995. Der taxonomische Status von Andrena fulvicornis Schenck, 1853 (Hymenoptera, Apidae). Entomofauna, 16: 1-12.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"122103"
"bfPol12";"Seladonia subaurata (Rossi, 1792)";"839091";"Seladonia subaurata";"(Rossi, 1792)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Seladonia";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"118929"
"bfPol13";"Lasioglossum subfasciatum (Imhoff, 1832)";"239893";"Lasioglossum subfasciatum";"(Imhoff, 1832)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"120312"
"bfPol14";"Lasioglossum politum (Schenck, 1853)";"239875";"Lasioglossum politum";"(Schenck, 1853)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"118900"
"bfPol15";"Lasioglossum pauxillum (Schenck, 1853)";"239871";"Lasioglossum pauxillum";"(Schenck, 1853)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"123317"
"bfPol16";"Lasioglossum nitidulum (Fabricius, 1804)";"239867";"Lasioglossum nitidulum";"(Fabricius, 1804)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"123315"
"bfPol17";"Lasioglossum lucidulum (Schenck, 1861)";"239853";"Lasioglossum lucidulum";"(Schenck, 1861)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"120294"
"bfPol18";"Lasioglossum laticeps (Schenck, 1869)";"239846";"Lasioglossum laticeps";"(Schenck, 1869)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"123302"
"bfPol19";"Lasioglossum laevigatum (Kirby, 1802)";"239845";"Lasioglossum laevigatum";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"122626"
"bfPol20";"Lasioglossum laeve (Kirby, 1802)";"239843";"Lasioglossum laeve";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Lasioglossum";"Arthropodes";"Insectes";"pollinates";"187226";"Apiaceae";"Apiaceae Lindl., 1836";"Lindl., 1836";"FM";"Plantae";NA;"Equisetopsida";"Apiales";"Apiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;"female";"http://www.wikidata.org/entity/Q43445";"50";"adult";"http://www.wikidata.org/entity/Q80994";"134";"regular";NA;NA;NA;"122625"
