"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"SOCIABILITY";"SPECIFICITY";"BIOLOGICAL_STAGE";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"SOCIABILITY_ID";"SPECIFICITY_ID";"BIOLOGICAL_STAGE_ID";"SOURCE_ID"
"bfSoc11";"Bombus lucorum (Linnaeus, 1761)";"53098";"Bombus lucorum";"(Linnaeus, 1761)";53098;"Bombus lucorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939770;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc12";"Bombus pascuorum (Scopoli, 1763)";"53099";"Bombus pascuorum";"(Scopoli, 1763)";53099;"Bombus pascuorum";"(Scopoli, 1763)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939788;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc13";"Bombus pratorum (Linnaeus, 1761)";"53100";"Bombus pratorum";"(Linnaeus, 1761)";53100;"Bombus pratorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939792;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc14";"Bombus ruderarius (Muller, 1776)";"53101";"Bombus ruderarius";"(Müller, 1776)";53101;"Bombus ruderarius";"(Müller, 1776)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939798;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc15";"Bombus sylvarum (Linnaeus, 1761)";"53103";"Bombus sylvarum";"(Linnaeus, 1761)";53103;"Bombus sylvarum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939810;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc16";"Bombus terrestris (Linnaeus, 1758)";"53104";"Bombus terrestris";"(Linnaeus, 1758)";53104;"Bombus terrestris";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";939814;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc17";"Colletes daviesanus Smith, 1846";"53110";"Colletes daviesanus";"Smith, 1846";53110;"Colletes daviesanus";"Smith, 1846";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";"solitary";"principal";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";938401;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";"https://taxref.mnhn.fr/taxref-web/traits/values/132";NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc18";"Colletes daviesanus Smith, 1846";"53110";"Colletes daviesanus";"Smith, 1846";53110;"Colletes daviesanus";"Smith, 1846";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";"solitary";"principal";NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";938398;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";"https://taxref.mnhn.fr/taxref-web/traits/values/132";NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc19";"Colletes daviesanus Smith, 1846";"53110";"Colletes daviesanus";"Smith, 1846";53110;"Colletes daviesanus";"Smith, 1846";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";"gregarious";"optional";NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";939436;"https://taxref.mnhn.fr/taxref-web/traits/values/1168";"https://taxref.mnhn.fr/taxref-web/traits/values/136";NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc20";"Colletes daviesanus Smith, 1846";"53110";"Colletes daviesanus";"Smith, 1846";53110;"Colletes daviesanus";"Smith, 1846";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";"gregarious";"optional";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939439;"https://taxref.mnhn.fr/taxref-web/traits/values/1168";"https://taxref.mnhn.fr/taxref-web/traits/values/136";NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
