"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"RANK";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"RELATION_EN";"CD_NOM_02";"LB_NOM_02";"VALID_NAME_02";"LB_AUTHOR_02";"RANK_02";"KINGDOM_02";"PHYLUM_02";"CLASS_02";"ORDER_02";"FAMILY_02";"GENUS_02";"GROUP1_INPN_02";"GROUP2_INPN_02";"CD_DOC";"SOURCE";"DOC_URL";"LB_ETAT_SEXE_EN_1";"WIKIDATA_SEXE_1";"CD_ETAT_STADE_1";"LB_ETAT_STADE_EN_1";"WIKIDATA_STADE_1";"CD_ETAT_SPECIFICITE";"SPECIFITY";"WIKIDATA_SPECIFICITE";"LB_ETAT_STADE_EN_2";"WIKIDATA_STADE_2";"CD_BIOLINTER_SP"
"bfLec2424";"Andrena morio Brulle, 1832";"239390";"Andrena morio";"Brullé, 1832";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"118628"
"bfLec2425";"Andrena minutula (Kirby, 1802)";"239387";"Andrena minutula";"(Kirby, 1802)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"121568"
"bfLec2426";"Andrena lapponica Zetterstedt, 1838";"239377";"Andrena lapponica";"Zetterstedt, 1838";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444815";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"123711"
"bfLec2427";"Andrena lapponica Zetterstedt, 1838";"239377";"Andrena lapponica";"Zetterstedt, 1838";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"123711"
"bfLec2428";"Megachile lefebvrei Lepeletier, 1841";"808456";"Megachile lefebvrei";"Lepeletier, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachile";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"307929";"Baldock, D., Wood, T., Cross, I. & Smit, J. 2018. The Bees of Portugal (Hymenoptera: Apoidea: Anthophila). Entomofauna Supplement 22: 1-164";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"122882"
"bfLec2429";"Megachile alpicola Alfken, 1924";"239906";"Megachile alpicola";"Alfken, 1924";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachile";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444787";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"121266"
"bfLec2430";"Megachile alpicola Alfken, 1924";"239906";"Megachile alpicola";"Alfken, 1924";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachile";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444864";"Banaszak J., Romasenko L. 2001. Megachilid bees of Europe (Hymenoptera, Apoidea, Megachilidae). Pedagogical University of Bydgoszcz, Bydgoszcz. 239 pp.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"121266"
"bfLec2431";"Eucera rufa (Lepeletier, 1841)";"808466";"Eucera rufa";"(Lepeletier, 1841)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Eucera";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444715";"Özbek, H. 2010. Doğu anadolu'nun bazi yörelerindekî Eucera Scop. ve Tetralonia Spin. (Anthophoridae: Hymenoptera) cînslerîne mensup arilar. Atatürk Üniversitesi Ziraat Fakültesi Dergisi/Journal of the Faculty of Agriculture, 14: 35-40.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"123552"
"bfLec2432";"Eucera elongatula Vachal, 1907";"239670";"Eucera elongatula";"Vachal, 1907";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Eucera";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"307929";"Baldock, D., Wood, T., Cross, I. & Smit, J. 2018. The Bees of Portugal (Hymenoptera: Apoidea: Anthophila). Entomofauna Supplement 22: 1-164";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"122131"
"bfLec2433";"Eucera elongatula Vachal, 1907";"239670";"Eucera elongatula";"Vachal, 1907";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Eucera";"Arthropodes";"Insectes";"acquires nutrients from";"187240";"Lamiaceae";"Lamiaceae Martinov, 1820";"Martinov, 1820";"FM";"Plantae";NA;"Equisetopsida";"Lamiales";"Lamiaceae";NA;"Trachéophytes";"Angiospermes";"444834";"Vereecken, N.J., Risch, S., Cortis, P. 2007. A contribution to the pollination biology of Ophrys scolopax Cavanilles (Orchidaceae) in southern France. Natural. belges 88 (Orchid. 20): 17-26.";NA;NA;NA;"53";"larva";"http://www.wikidata.org/entity/Q129270";"134";"regular";NA;NA;NA;"122131"
