LB_NOM;VALID_NAME;PHYLUM;CLASS;ORDER;FAMILY;SUBFAMILY;TRIBE;GENUS;SUBGENUS;CD_NOM
Andrena brumanensis;Andrena brumanensis Friese, 1899;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cryptandrena;239320
Andrena bucephala;Andrena bucephala Stephens, 1846;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena;239321
Andrena chrysopus;Andrena chrysopus Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239323
Andrena chrysopyga;Andrena chrysopyga Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239324
Andrena chrysosceles;Andrena chrysosceles (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena;239325
Andrena cineraria;Andrena cineraria (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;53077
Andrena cinerea;Andrena cinerea Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239326
Andrena clarkella;Andrena clarkella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239327
Andrena clypella;Andrena clypella Strand, 1921;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239328
Andrena coitana;Andrena coitana (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Oreomelissa;239329
Andrena colletiformis;Andrena colletiformis Morawitz, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239330
Andrena combinata;Andrena combinata (Christ, 1791);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;239331
Andrena confinis;Andrena confinis Stockhert, 1930;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;939582
Andrena congruens;Andrena congruens Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239332
Andrena corssubalpina;Andrena corssubalpina Theunert, 2007;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;814733
Andrena curvungula;Andrena curvungula C.G. Thomson, 1870;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239334
Andrena decipiens;Andrena decipiens Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239336
Andrena denticulata;Andrena denticulata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena;239337
Andrena distinguenda;Andrena distinguenda Schenck, 1871;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Distandrena;239338
Andrena djelfensis;Andrena djelfensis Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;317520
Andrena dorsata;Andrena dorsata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;239339
Andrena fabrella;Andrena fabrella Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239342
Andrena falsifica;Andrena falsifica Perkins, 1915;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239343
Andrena farinosa;Andrena farinosa Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Ovandrena;239344
Andrena ferox;Andrena ferox Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena;239345
Andrena ferrugineicrus;Andrena ferrugineicrus Dours, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Truncandrena;239346
Andrena flavilabris;Andrena flavilabris Schenck, 1874;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Holandrena;814734
Andrena flavipes;Andrena flavipes Panzer, 1799;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239347
Andrena florea;Andrena florea Fabricius, 1793;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Bryandrena;239348
Andrena florentina;Andrena florentina Magretti, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hyperandrena;317532
Andrena floricola;Andrena floricola Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239349
Andrena florivaga;Andrena florivaga Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Lepidandrena;239350
Andrena freygessneri;Andrena freygessneri Alfken, 1904;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena;814735
Andrena fucata;Andrena fucata Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239351
Andrena fulva;Andrena fulva (Muller, 1766);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;53079
Andrena fulvago;Andrena fulvago (Christ, 1791);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chrysandrena;239352
Andrena fulvata;Andrena fulvata Stoeckhert, 1930;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239353
Andrena fulvicornis;Andrena fulvicornis Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;814736
Andrena fulvida;Andrena fulvida Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239354
