LB_NOM;VALID_NAME;PHYLUM;CLASS;ORDER;FAMILY;SUBFAMILY;TRIBE;GENUS;SUBGENUS;CD_NOM
Andrena tibialis;Andrena tibialis (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena;239454
Andrena trimmerana;Andrena trimmerana (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena;239456
Andrena truncatilabris;Andrena truncatilabris Morawitz, 1877;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Truncandrena;239457
Andrena tscheki;Andrena tscheki Morawitz, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Truncandrena;939518
Andrena vaga;Andrena vaga Panzer, 1799;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239458
Andrena variabilis;Andrena variabilis Smith, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Holandrena;239459
Andrena varians;Andrena varians (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239460
Andrena ventralis;Andrena ventralis Imhoff, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena;239461
Andrena ventricosa;Andrena ventricosa Dours, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cryptandrena;239462
Andrena verticalis;Andrena verticalis Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Graecandrena;239463
Andrena vetula;Andrena vetula Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;239464
Andrena villipes;Andrena villipes Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Truncandrena;239465
Andrena viridescens;Andrena viridescens Viereck, 1916;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Poecilandrena;239466
Andrena vocifera;Andrena vocifera Warncke, 1975;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;1012385
Andrena vulpecula;Andrena vulpecula Kriechbaumer, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239467
Andrena wilkella;Andrena wilkella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Taeniandrena;239468
Anthidiellum breviusculum;Anthidiellum breviusculum (Perez, 1890);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidiellum;;239469
Anthidiellum strigatum;Anthidiellum strigatum (Panzer, 1802);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidiellum;;239470
Anthidium cingulatum;Anthidium cingulatum Latreille, 1809;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Anthidium;239472
Anthidium diadema;Anthidium diadema Latreille, 1809;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;;239473
Anthidium florentinum;Anthidium florentinum (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Anthidium;239474
Anthidium loti;Anthidium loti Perris, 1852;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Anthidium;239476
Anthidium manicatum;Anthidium manicatum (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;;53081
Anthidium montanum;Anthidium montanum Morawitz, 1865;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;;53082
Anthidium oblongatum;Anthidium oblongatum (Illiger, 1806);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Proanthidium;239478
Anthidium punctatum;Anthidium punctatum Latreille, 1809;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Anthidium;53083
Anthidium septemspinosum;Anthidium septemspinosum Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Anthidium;239480
Anthidium taeniatum;Anthidium taeniatum Latreille, 1809;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Anthidium;239481
Anthidium undulatum;Anthidium undulatum Dours, 1873;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Proanthidium;239482
Anthophora aestivalis;Anthophora aestivalis (Panzer, 1801);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Pyganthophora;239483
Anthophora affinis;Anthophora affinis Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Lophanthophora;239484
Anthophora agama;Anthophora agama Radoszkowski, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Lophanthophora;239485
Anthophora ahlamae;Anthophora ahlamae Rasmont & Wood, 2024;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Paramegilla;1047619
Anthophora atriceps;Anthophora atriceps Perez, 1880;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;;239486
Anthophora atroalba;Anthophora atroalba Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Pyganthophora;239487
Anthophora balneorum;Anthophora balneorum Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Paramegilla;239488
Anthophora bimaculata;Anthophora bimaculata (Panzer, 1798);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Heliophila;239490
Anthophora calcarata;Anthophora calcarata Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Petalosternon;239491
Anthophora canescens;Anthophora canescens Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Anthophora;883852
Anthophora crassipes;Anthophora crassipes Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Petalosternon;239493
Anthophora crinipes;Anthophora crinipes Smith, 1854;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;;239494
Anthophora dispar;Anthophora dispar Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Lophanthophora;239495
Anthophora dufourii;Anthophora dufourii Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Caranthophora;239496
Anthophora femorata;Anthophora femorata (Olivier, 1789);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Paramegilla;239497
Anthophora fulvitarsis;Anthophora fulvitarsis Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Anthophora;239498
Anthophora fulvodimidiata;Anthophora fulvodimidiata Dours, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Heliophila;239499
Anthophora furcata;Anthophora furcata (Panzer, 1798);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Clisodon;239500
Anthophora gallica;Anthophora gallica Dalla Torre & Friese, 1895;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;;814738
Anthophora larvata;Anthophora larvata Giraud, 1863;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Paramegilla;239501
Anthophora leucophaea;Anthophora leucophaea Perez, 1880;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;;239502
Anthophora mucida;Anthophora mucida Gribodo, 1873;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Lophanthophora;239504
Anthophora nigrovittata;Anthophora nigrovittata Dours, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Paramegilla;239505
Anthophora plagiata;Anthophora plagiata (Illiger, 1806);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Melea;239507
Anthophora plumipes;Anthophora plumipes (Pallas, 1772);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Anthophora;239508
Anthophora podagra;Anthophora podagra Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Paramegilla;239509
Anthophora pubescens;Anthophora pubescens (Fabricius, 1781);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Caranthophora;239510
Anthophora punctilabris;Anthophora punctilabris Perez, 1880;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;;239511
Anthophora quadrimaculata;Anthophora quadrimaculata (Panzer, 1798);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Dasymegilla;239513
Anthophora retusa;Anthophora retusa (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;;239514
Anthophora robusta;Anthophora robusta (Klug, 1845);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Lophanthophora;239515
Anthophora senescens;Anthophora senescens Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Anthophora;239519
Anthophora sichelii;Anthophora sichelii Radoszkowski, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;Pyganthophora;239520
Apis mellifera;Apis mellifera Linnaeus, 1758;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Apini;Apis;;239523
Biastes brevicornis;Biastes brevicornis (Panzer, 1797);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Biastini;Biastes;;239524
Biastes emarginatus;Biastes emarginatus (Schenck, 1853);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Biastini;Biastes;Biastes;239525
Biastes truncatus;Biastes truncatus (Nylander, 1848);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Biastini;Biastes;Melittoxena;317744
Bombus alpinus;Bombus alpinus (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239526
Bombus argillaceus;Bombus argillaceus (Scopoli, 1763);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Megabombus;239527
Bombus barbutellus;Bombus barbutellus (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;239528
Bombus bohemicus;Bombus bohemicus Seidl, 1838;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;239529
Bombus brodmannicus;Bombus brodmannicus Vogt, 1909;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Pyrobombus;239530
Bombus campestris;Bombus campestris (Panzer, 1800);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239531
Bombus confusus;Bombus confusus Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Bombias;239532
Bombus cryptarum;Bombus cryptarum (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Bombus;718500
Bombus cullumanus;Bombus cullumanus (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Cullumanobombus;53093
Bombus distinguendus;Bombus distinguendus Morawitz, 1868;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239533
Bombus flavidus;Bombus flavidus Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;239534
Bombus gerstaeckeri;Bombus gerstaeckeri Morawitz, 1881;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Megabombus;239535
Bombus hortorum;Bombus hortorum (Linnaeus, 1761);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;53095
Bombus humilis;Bombus humilis Illiger, 1806;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;239536
Bombus hypnorum;Bombus hypnorum (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;53096
Bombus inexspectatus;Bombus inexspectatus (Tkalcu, 1963);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;239537
Bombus jonellus;Bombus jonellus (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Pyrobombus;239538
Bombus laesus;Bombus laesus Morawitz, 1875 ;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;239539
Bombus lapidarius;Bombus lapidarius (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;53097
Bombus lucorum;Bombus lucorum (Linnaeus, 1761);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;53098
Bombus magnus;Bombus magnus Vogt, 1911;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Bombus;239540
Bombus mastrucatus;Bombus mastrucatus Gerstäcker, 1869 ;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Alpigenobombus;407156
Bombus mendax;Bombus mendax Gerstacker, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Mendacibombus;239542
Bombus mesomelas;Bombus mesomelas Gerstacker, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;239543
Bombus monticola;Bombus monticola Smith, 1849;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Pyrobombus;239544
Bombus mucidus;Bombus mucidus Gerstacker, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;239545
Bombus muscorum;Bombus muscorum (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239546
Bombus norvegicus;Bombus norvegicus (Sparre-Schneider, 1918);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;239547
Bombus pascuorum;Bombus pascuorum (Scopoli, 1763);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;53099
Bombus pomorum;Bombus pomorum (Panzer, 1802);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239549
Bombus pratorum;Bombus pratorum (Linnaeus, 1761);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;53100
Bombus pyrenaeus;Bombus pyrenaeus Perez, 1880;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239550
Bombus quadricolor;Bombus quadricolor (Lepeletier, 1833);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239551
Bombus renardi;Bombus renardi Radoszkowski, 1884;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Bombus;814742
Bombus ruderarius;Bombus ruderarius (Muller, 1776);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;53101
Bombus ruderatus;Bombus ruderatus (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Megabombus;239552
Bombus rupestris;Bombus rupestris (Fabricius, 1793);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;239553
Bombus sichelii;Bombus sichelii Radoszkowski, 1859;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Melanobombus;239554
Bombus soroeensis;Bombus soroeensis (Fabricius, 1777);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Kallobombus;239555
Bombus subterraneus;Bombus subterraneus (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239556
Bombus sylvarum;Bombus sylvarum (Linnaeus, 1761);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;53103
Bombus sylvestris;Bombus sylvestris (Lepeletier, 1833);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239557
Bombus terrestris;Bombus terrestris (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;53104
Bombus vestalis;Bombus vestalis (Geoffroy in Fourcroy, 1785);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;;239558
Bombus veteranus;Bombus veteranus (Fabricius, 1793);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus;239559
Bombus xanthopus;Bombus xanthopus Kriechbaumer, 1870;Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Bombus;814744
Camptopoeum nasutum;Camptopoeum nasutum (Spinola, 1838);Arthropoda;Insecta;Hymenoptera;Andrenidae;Panurginae;Panurgini;Camptopoeum;;239561
Ceratina callosa;Ceratina callosa (Fabricius, 1794);Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239562
Ceratina chalcites;Ceratina chalcites Germar, 1839;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239563
Ceratina chalybea;Ceratina chalybea Chevrier, 1872;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239564
Ceratina cucurbitina;Ceratina cucurbitina (Rossi, 1792);Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Ceratina;239565
Ceratina cyanea;Ceratina cyanea (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239566
Ceratina dallatorreana;Ceratina dallatorreana Friese, 1896;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239567
Ceratina dentiventris;Ceratina dentiventris Gerstacker, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239568
Ceratina gravidula;Ceratina gravidula Gerstacker, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239569
Ceratina mocsaryi;Ceratina mocsaryi Friese, 1896;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239570
Ceratina nigrolabiata;Ceratina nigrolabiata Friese, 1896;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Euceratina;239571
Ceratina parvula;Ceratina parvula Smith, 1854;Arthropoda;Insecta;Hymenoptera;Apidae;Xylocopinae;Ceratinini;Ceratina;Dalyatina;239572
Ceylalictus variegatus;Ceylalictus variegatus (Olivier, 1789);Arthropoda;Insecta;Hymenoptera;Halictidae;Nomioidinae;;Ceylalictus;;239573
Chelostoma campanularum;Chelostoma campanularum (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;Foveosmia;239584
Chelostoma distinctum;Chelostoma distinctum (Stockhert, 1929);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;;239586
Chelostoma emarginatum;Chelostoma emarginatum (Nylander, 1856);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;Chelostoma;239587
Chelostoma florisomne;Chelostoma florisomne (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;;239588
Chelostoma foveolatum;Chelostoma foveolatum (Morawitz, 1868);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;Foveosmia;239589
Chelostoma grande;Chelostoma grande (Nylander, 1852);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;Chelostoma;239590
Chelostoma incisa;Chelostoma incisa Le Divelec, 2024 ;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;Foveosmia;1078458
Chelostoma mocsaryi;Chelostoma mocsaryi Schletterer, 1889;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;Chelostoma;808462
Chelostoma nasutum;Chelostoma nasutum Perez, 1895;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;;808460
Chelostoma rapunculi;Chelostoma rapunculi (Lepeletier, 1841);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Chelostoma;Gyrodromella;239594
Coelioxys acanthurus;Coelioxys acanthurus (Illiger, 1806) ;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;;1038728
Coelioxys afer;Coelioxys afer Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;850185
Coelioxys alatus;Coelioxys alatus Forster, 1853;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Paracoelioxys;850186
Coelioxys argenteus;Coelioxys argenteus Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Alloceolioxys;850187
Coelioxys aurolimbatus;Coelioxys aurolimbatus Forster, 1853;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Rozeniana;850188
Coelioxys brevis;Coelioxys brevis Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;239600
Coelioxys caudatus;Coelioxys caudatus Spinola, 1838;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;850189
Coelioxys conoideus;Coelioxys conoideus (Illiger, 1806);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;;850190
Coelioxys coturnix;Coelioxys coturnix Perez, 1884;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;239603
Coelioxys echinatus;Coelioxys echinatus Forster, 1853;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;850191
Coelioxys elongatus;Coelioxys elongatus Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Paracoelioxys;850192
Coelioxys emarginatus;Coelioxys emarginatus Forster, 1853;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;850193
Coelioxys haemorrhous;Coelioxys haemorrhous Förster, 1853;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;239607
Coelioxys inermis;Coelioxys inermis (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Paracoelioxys;239608
Coelioxys lanceolatus;Coelioxys lanceolatus Nylander, 1852;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Coelioxys;850194
Coelioxys mandibularis;Coelioxys mandibularis Nylander, 1848;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Paracoelioxys;239610
Coelioxys obtusus;Coelioxys obtusus Perez, 1884;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;850195
Coelioxys polycentris;Coelioxys polycentris Forster, 1853;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;Allocoelioxys;239612
Coelioxys quadridentatus;Coelioxys quadridentatus (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;;850196
Coelioxys rufescens;Coelioxys rufescens Lepeletier & Audinet-Serville, 1825;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Megachilini;Coelioxys;;239613
Colletes abeillei;Colletes abeillei Perez, 1903;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239614
Colletes acutus;Colletes acutus Perez, 1903;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239615
Colletes albomaculatus;Colletes albomaculatus (Lucas, 1848);Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239616
Colletes brevigena;Colletes brevigena Noskiewicz, 1936;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;317802
Colletes canescens;Colletes canescens Smith, 1853;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239617
Colletes collaris;Colletes collaris Dours, 1872;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239620
Colletes cunicularius;Colletes cunicularius (Linnaeus, 1761);Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239621
Colletes daviesanus;Colletes daviesanus Smith, 1846;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;53110
Colletes dusmeti;Colletes dusmeti Noskiewicz, 1936;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;317808
Colletes eous;Colletes eous Morice, 1904;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239623
Colletes floralis;Colletes floralis Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239624
Colletes fodiens;Colletes fodiens (Geoffroy in Fourcroy, 1785);Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239625
Colletes foveolaris;Colletes foveolaris Perez, 1903;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239626
Colletes gallicus;Colletes gallicus Radoszkowski, 1891;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239627
Colletes halophilus;Colletes halophilus Verhoeff, 1944;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239628
Colletes hederae;Colletes hederae Schmidt & Westrich, 1993;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;317811
Colletes hylaeiformis;Colletes hylaeiformis Eversmann, 1852;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239629
Colletes impunctatus;Colletes impunctatus Nylander, 1852;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;317814
Colletes ligatus;Colletes ligatus Erichson in Waltl, 1835;Arthropoda;Insecta;Hymenoptera;Colletidae;Colletinae;Colletini;Colletes;;239630
