CD_NOM;LB_NOM;NOM_COMPLET;NOM_VALIDE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;GENRE;SOUS_GENRE
908477;Andrena amieti;Andrena amieti Praz, Muller & Genoud, 2019;Andrena amieti Praz, Muller & Genoud, 2019;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
883841;Andrena ampla;Andrena ampla Warncke, 1967;Andrena ampla Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
239305;Andrena angustior;Andrena angustior (Kirby, 1802);Andrena angustior (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
721009;Andrena angustior angustior;Andrena angustior angustior (Kirby, 1802);Andrena angustior (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena
721010;Andrena angustior impressa;Andrena angustior impressa Warncke, 1967;Andrena lavandulae Perez, 1902;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239306;Andrena anthrisci;Andrena anthrisci Bluthgen, 1925;Andrena anthrisci Bluthgen, 1925;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
239307;Andrena antigana;Andrena antigana Perez, 1895;Andrena antigana Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena
1012381;Andrena antonellae;Andrena antonellae Praz & Genoud, 2022;Andrena antonellae Praz & Genoud, 2022;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239308;Andrena apicata;Andrena apicata Smith, 1847;Andrena apicata Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena
939716;Andrena apicata apicata;Andrena apicata apicata Smith, 1847;Andrena apicata apicata Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
