"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"HABITAT";"SPECIFICITY";"GEOGRAPHIC_EXTENT";"BIOLOGICAL_STAGE";"BEHAVIOR__ACTIVITY";"SOURCE";"COMMENTS";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"HABITAT_ID";"SPECIFICITY_ID";"GEOGRAPHIC_EXTENT_ID";"BIOLOGICAL_STAGE_ID";"BEHAVIOR__ACTIVITY_ID";"SOURCE_ID"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V3 - Artificial grasslands and herb dominated habitats";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972500;"https://inpn.mnhn.fr/habitat/cd_hab/52208";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"N1 - Coastal dunes and sandy shores";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972494;"https://inpn.mnhn.fr/habitat/cd_hab/48262";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"R5 - Forest fringes and clearings and tall forb stands";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972498;"https://inpn.mnhn.fr/habitat/cd_hab/48967";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"T1 - Deciduous broadleaved forest";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975864;"https://inpn.mnhn.fr/habitat/cd_hab/49241";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"N1 - Coastal dunes and sandy shores";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972512;"https://inpn.mnhn.fr/habitat/cd_hab/48262";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V1 - Arable land and market gardens";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972516;"https://inpn.mnhn.fr/habitat/cd_hab/52177";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V2 - Cultivated areas of gardens and parks";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972518;"https://inpn.mnhn.fr/habitat/cd_hab/52196";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"R4 - Alpine and subalpine grasslands";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975876;"https://inpn.mnhn.fr/habitat/cd_hab/48908";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"R1 - Dry grasslands";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";972522;"https://inpn.mnhn.fr/habitat/cd_hab/48479";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"V6 - Tree dominated man-made habitats";"";"";"";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"";"2.0";"Abeilles";975878;"https://inpn.mnhn.fr/habitat/cd_hab/52265";"";"";"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
