"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"ALTITUDE";"UNIT";"STATISTIC";"GEOGRAPHIC_EXTENT";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"UNIT_ID";"STATISTIC_ID";"GEOGRAPHIC_EXTENT_ID";"SOURCE_ID"
53095;"Bombus hortorum";"(Linnaeus, 1761)";53095;"Bombus hortorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876175;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53095;"Bombus hortorum";"(Linnaeus, 1761)";53095;"Bombus hortorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2600;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";873947;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53096;"Bombus hypnorum";"(Linnaeus, 1758)";53096;"Bombus hypnorum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2400;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";873955;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53096;"Bombus hypnorum";"(Linnaeus, 1758)";53096;"Bombus hypnorum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876183;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53097;"Bombus lapidarius";"(Linnaeus, 1758)";53097;"Bombus lapidarius";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876195;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53097;"Bombus lapidarius";"(Linnaeus, 1758)";53097;"Bombus lapidarius";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2500;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";873967;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53098;"Bombus lucorum";"(Linnaeus, 1761)";53098;"Bombus lucorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2400;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";873971;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53098;"Bombus lucorum";"(Linnaeus, 1761)";53098;"Bombus lucorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876199;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53099;"Bombus pascuorum";"(Scopoli, 1763)";53099;"Bombus pascuorum";"(Scopoli, 1763)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2100;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";873999;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53099;"Bombus pascuorum";"(Scopoli, 1763)";53099;"Bombus pascuorum";"(Scopoli, 1763)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876227;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53100;"Bombus pratorum";"(Linnaeus, 1761)";53100;"Bombus pratorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2400;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";874007;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53100;"Bombus pratorum";"(Linnaeus, 1761)";53100;"Bombus pratorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876235;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53101;"Bombus ruderarius";"(Müller, 1776)";53101;"Bombus ruderarius";"(Müller, 1776)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876247;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53101;"Bombus ruderarius";"(Müller, 1776)";53101;"Bombus ruderarius";"(Müller, 1776)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2800;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";874019;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53103;"Bombus sylvarum";"(Linnaeus, 1761)";53103;"Bombus sylvarum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876271;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53103;"Bombus sylvarum";"(Linnaeus, 1761)";53103;"Bombus sylvarum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2100;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";874043;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53104;"Bombus terrestris";"(Linnaeus, 1758)";53104;"Bombus terrestris";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";2200;" m";" maximum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";874051;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53104;"Bombus terrestris";"(Linnaeus, 1758)";53104;"Bombus terrestris";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Müller, A., Amiet, F., Praz, C. 2017. <em>Apidae 1: Allgemeiner Teil, Gattungen, Apis, Bombus</em>. Second edition. Fauna Helvetica 29. Centre Suisse de Cartographie de la Faune (CSCF) and Swiss Entomological Society (SEG). 185pp.<br />&nbsp;";"2.0";"Abeilles";876279;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444704"
53110;"Colletes daviesanus";"Smith, 1846";53110;"Colletes daviesanus";"Smith, 1846";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";876407;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53110;"Colletes daviesanus";"Smith, 1846";53110;"Colletes daviesanus";"Smith, 1846";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Colletidae";"Colletinae";"Colletini";"Colletes";"Arthropodes";"Insectes";"Hyménoptères";2100;" m";" maximum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";874179;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53130;"Halictus maculatus";"Smith, 1848";53130;"Halictus maculatus";"Smith, 1848";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";1600;" m";" maximum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";874379;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53130;"Halictus maculatus";"Smith, 1848";53130;"Halictus maculatus";"Smith, 1848";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";876583;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53144;"Halictus quadricinctus";"(Fabricius, 1777)";53144;"Halictus quadricinctus";"(Fabricius, 1777)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Halictidae";"Halictinae";"Halictini";"Halictus";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";876591;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
